;PC Software:StarLab Version 3.60 Build 9
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:27/05/2021 at 13:18:42
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Pulsar Sensor 1 Pyroelectric PE25-C (s/n:963165)  FU1.30 (s/n:957840)

;Channel A:Details
;Name:PE25-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:1053
;Settings:Range:20.0mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:10uS
;Settings:Threshold:N/A
;Settings:External Trigger:Off
;Missing Pulses Detect:Off 

;Channel A:Statistics
;Min:7.910mJ             
;Max:9.290mJ             
;Average:8.763mJ             
;Std.Dev.:166.2uJ             
;Overrange:0                   
;Total Pulses:75387               
;--------------------


;First Pulse Arrived : 27/05/2021 at 13:18:53
    Timestamp    	  Channel A  	
        33.590390	  8.469e-03 	
        33.790332	  8.329e-03 	
        33.990276	  8.871e-03 	
        34.190218	  8.486e-03 	
        34.390162	  8.941e-03 	
        34.590104	  8.609e-03 	
        34.790046	  8.818e-03 	
        34.989990	  8.644e-03 	
        35.189932	  8.486e-03 	
        35.389875	  8.818e-03 	
        35.589818	  8.748e-03 	
        35.789761	  8.644e-03 	
        35.989703	  8.609e-03 	
        36.189646	  8.539e-03 	
        36.389589	  8.644e-03 	
        36.589531	  8.888e-03 	
        36.789475	  8.661e-03 	
        36.989417	  8.906e-03 	
        37.189361	  8.713e-03 	
        37.389303	  8.801e-03 	
        37.589246	  8.766e-03 	
        37.789189	  8.801e-03 	
        37.989131	  8.574e-03 	
        38.189074	  8.469e-03 	
        38.389016	  8.399e-03 	
        38.588960	  8.731e-03 	
        38.788902	  8.609e-03 	
        38.988846	  8.818e-03 	
        39.188788	  8.923e-03 	
        39.388730	  8.486e-03 	
        39.588674	  8.888e-03 	
        39.788616	  8.853e-03 	
        39.988560	  8.574e-03 	
        40.188502	  8.871e-03 	
        40.388445	  8.556e-03 	
        40.588387	  8.731e-03 	
        40.788331	  8.679e-03 	
        40.988273	  8.696e-03 	
        41.188217	  8.696e-03 	
        41.388159	  8.679e-03 	
        41.588103	  8.836e-03 	
        41.788045	  8.451e-03 	
        41.987987	  8.696e-03 	
        42.187930	  8.871e-03 	
        42.387872	  8.801e-03 	
        42.587816	  8.923e-03 	
        42.787759	  8.574e-03 	
        42.987701	  8.976e-03 	
        43.187644	  8.748e-03 	
        43.387586	  8.696e-03 	
        43.587530	  8.976e-03 	
        43.787472	  8.696e-03 	
        43.987416	  8.853e-03 	
        44.187358	  8.906e-03 	
        44.387300	  8.871e-03 	
        44.587244	  8.451e-03 	
        44.787186	  8.853e-03 	
        44.987130	  8.836e-03 	
        45.187072	  8.941e-03 	
        45.387015	  8.679e-03 	
        45.586957	  8.976e-03 	
        45.786901	  8.679e-03 	
        45.986843	  8.748e-03 	
        46.186785	  8.521e-03 	
        46.386729	  8.923e-03 	
        46.586671	  8.644e-03 	
        46.786615	  8.399e-03 	
        46.986557	  8.713e-03 	
        47.186501	  8.731e-03 	
        47.386443	  8.504e-03 	
        47.586385	  8.783e-03 	
        47.786329	  8.679e-03 	
        47.986271	  8.696e-03 	
        48.186214	  8.626e-03 	
        48.386157	  8.504e-03 	
        48.586100	  8.591e-03 	
        48.786042	  8.871e-03 	
        48.985985	  8.591e-03 	
        49.185928	  8.923e-03 	
        49.385870	  8.679e-03 	
        49.585814	  8.451e-03 	
        49.785756	  8.661e-03 	
        49.985700	  8.626e-03 	
        50.185642	  8.713e-03 	
        50.385585	  8.626e-03 	
        50.585528	  8.679e-03 	
        50.785471	  8.574e-03 	
        50.985413	  8.574e-03 	
        51.185357	  8.783e-03 	
        51.385299	  8.521e-03 	
        51.585241	  8.416e-03 	
        51.785185	  8.434e-03 	
        51.985127	  8.644e-03 	
        52.185071	  8.713e-03 	
        52.385013	  8.591e-03 	
        52.584955	  8.416e-03 	
        52.784899	  8.713e-03 	
        52.984841	  8.661e-03 	
        53.184784	  8.888e-03 	
        53.384726	  8.679e-03 	
        53.584670	  8.783e-03 	
        53.784613	  8.766e-03 	
        53.984555	  8.766e-03 	
        54.184498	  8.521e-03 	
        54.384440	  8.766e-03 	
        54.584384	  8.748e-03 	
        54.784326	  8.958e-03 	
        54.984270	  8.923e-03 	
        55.184212	  8.976e-03 	
        55.384154	  8.591e-03 	
        55.584098	  8.713e-03 	
        55.784040	  8.486e-03 	
        55.983984	  8.766e-03 	
        56.183926	  8.626e-03 	
        56.383869	  8.958e-03 	
        56.583811	  8.574e-03 	
        56.783755	  8.713e-03 	
        56.983697	  8.923e-03 	
        57.183639	  8.731e-03 	
